Table Names,State,Parameters,Type,April - Total ((A+B) or (C+D)),May - Total ((A+B) or (C+D)),June - Total ((A+B) or (C+D)),July - Total ((A+B) or (C+D)),August - Total ((A+B) or (C+D)),September - Total ((A+B) or (C+D)),October - Total ((A+B) or (C+D)),November - Total ((A+B) or (C+D)),December - Total ((A+B) or (C+D)),January - Total ((A+B) or (C+D)),February - Total ((A+B) or (C+D)),March - Total ((A+B) or (C+D)),Total - Total ((A+B) or (C+D)),Total - Public (A),Total - Private (B),Total - Urban (C),Total - Rural (D)
2018-2019.xlsm/hmis-report-2018-19,Jammu & Kashmir,Number of Infant Deaths (1 -12 months) due to Pneumonia,TOTAL,1,6,7,8,4,5,9,12,7,6,7,13,85,85,0,2,83
2018-2019.xlsm/hmis-report-2018-19,Jammu & Kashmir,Number of Infant Deaths (1 -12 months) due to Diarrhoea,TOTAL,0,1,1,0,0,0,1,0,1,0,0,0,4,4,0,0,4
2018-2019.xlsm/hmis-report-2018-19,Jammu & Kashmir,Number of Infant Deaths (1 -12 months) due to Measles,TOTAL,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2018-2019.xlsm/hmis-report-2018-19,Jammu & Kashmir,Number of Child Deaths (1 -5 years) due to Pneumonia,TOTAL,1,1,0,5,3,2,2,4,1,2,6,2,29,29,0,0,29
2018-2019.xlsm/hmis-report-2018-19,Jammu & Kashmir,Number of Child Deaths (1 -5 years) due to Diarrhoea,TOTAL,0,0,0,0,2,0,4,0,1,0,0,0,7,7,0,0,7
2018-2019.xlsm/hmis-report-2018-19,Jammu & Kashmir,Number of Child Deaths (1 -5 years) due to Measles,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019.xlsm/hmis-report-2018-19,Jammu & Kashmir,Number of Adolscent / Adult deaths due to Diarrhoeal diseases,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019.xlsm/hmis-report-2018-19,Jammu & Kashmir,Vaccine - Measles,1. Balance From Previous Month,29840,18340,21105,33965,12275,6590,7530,1725,1380,1380,1380,2380,137890,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Jammu & Kashmir,Vaccine - Measles,2. Stocks Received,22400,37595,50480,15500,15300,7750,0,0,0,0,1000,2500,152525,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Jammu & Kashmir,Vaccine - Measles,3. Unusable Stock,245,2080,2730,1410,0,0,0,70,0,0,0,0,6535,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Jammu & Kashmir,Vaccine - Measles,4. Stock Distributed,31430,34842,37520,37040,18260,6060,3600,0,0,0,0,0,168752,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Jammu & Kashmir,Vaccine - Measles,5. Total Stock,20565,19013,31335,11015,9315,8280,3930,1655,1380,1380,2380,4880,115128,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Jammu & Kashmir,Measles Rubella (MR),1. Balance From Previous Month,0,1900,0,0,0,0,185210,432560,102330,91840,69431,62971,946242,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Jammu & Kashmir,Measles Rubella (MR),2. Stocks Received,0,0,0,0,0,365000,1191000,422500,35000,14500,9120,23750,2060870,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Jammu & Kashmir,Measles Rubella (MR),3. Unusable Stock,0,0,0,0,0,0,0,0,3200,3400,4000,5350,15950,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Jammu & Kashmir,Measles Rubella (MR),4. Stock Distributed,0,1100,0,0,0,234290,1163650,621830,59950,32509,15630,22575,2151534,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Jammu & Kashmir,Measles Rubella (MR),5. Total Stock,0,800,0,0,0,130710,212560,128230,73680,66031,57421,57496,726928,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,10304,42494,61299,63662,16457,15283,14982,20807,44832,99472,101604,89886,581082,526386,54696,36884,544198
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Child immunisation (9-11months) - Measles 1st dose,TOTAL,43354,22752,11115,6016,2140,1612,1057,1333,1259,1602,1652,2549,96441,83367,13074,13400,83041
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,766,3268,4782,4788,2952,902,1278,1395,3685,19041,22235,15727,80819,76385,4434,3304,77515
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Child immunisation - Measles-1st dose,TOTAL,3887,2130,1546,1394,521,380,450,468,527,594,741,795,13433,9937,3496,3783,9650
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,4907,26163,44372,46945,9436,7711,7304,11355,22457,60106,68925,62266,371947,353760,18187,16954,354993
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,37265,21918,10737,8777,2477,2027,1304,1219,1731,3494,2583,2568,96100,81315,14785,10304,85796
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,460,729,602,860,695,154,202,435,792,978,1177,1473,8557,7030,1527,1623,6934
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Childhood Diseases - Pneumonia,TOTAL,156,194,160,169,248,212,291,234,286,200,450,418,3018,2853,165,205,2813
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Childhood Diseases - Asthma,TOTAL,76,14,13,14,23,13,7,25,76,15,60,40,376,292,84,40,336
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Childhood Diseases - Measles,TOTAL,112,125,66,64,32,28,30,27,20,41,51,58,654,637,17,31,623
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Childhood Diseases - Diarrhoea,TOTAL,1696,1616,1723,1702,1555,1366,1159,1250,1407,1202,1223,1367,17266,16771,495,591,16675
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,397,280,269,252,276,269,227,217,233,275,266,229,3190,2861,329,181,3009
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",TOTAL,547,403,365,385,401,393,903,496,478,448,429,629,5877,4861,1016,649,5228
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Number of Infant Deaths (1 -12 months) due to Pneumonia,TOTAL,12,13,17,7,17,25,16,16,13,12,18,17,183,181,2,0,183
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Number of Infant Deaths (1 -12 months) due to Diarrhoea,TOTAL,0,4,2,1,4,1,2,4,3,8,12,7,48,48,0,0,48
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Number of Infant Deaths (1 -12 months) due to Measles,TOTAL,1,0,1,0,0,0,1,0,1,1,0,0,5,5,0,0,5
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Number of Child Deaths (1 -5 years) due to Pneumonia,TOTAL,6,4,8,3,6,6,3,4,4,1,3,5,53,51,2,0,53
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Number of Child Deaths (1 -5 years) due to Diarrhoea,TOTAL,6,5,2,0,2,0,0,0,2,3,4,5,29,28,1,0,29
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Number of Child Deaths (1 -5 years) due to Measles,TOTAL,0,0,1,0,0,0,0,0,0,0,1,0,2,2,0,0,2
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Number of Adolscent / Adult deaths due to Diarrhoeal diseases,TOTAL,6,3,4,1,7,4,8,3,0,1,3,0,40,39,1,0,40
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Vaccine - Measles,1. Balance From Previous Month,36055,16325,3605,7410,40020,29010,25010,12010,21810,12010,13510,0,216775,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Vaccine - Measles,2. Stocks Received,9250,7000,8000,561500,102000,50000,0,30000,16000,5500,4000,8000,801250,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Vaccine - Measles,3. Unusable Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Vaccine - Measles,4. Stock Distributed,28080,19720,11595,349790,113000,54000,13000,23000,19500,4000,17510,8000,661195,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Vaccine - Measles,5. Total Stock,17225,3605,10,219120,29020,25010,12010,19010,18310,13510,0,0,356830,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Measles Rubella (MR),1. Balance From Previous Month,3000,52960,77310,132105,724768,1092048,886098,652520,594568,232698,144328,114692,4707095,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Measles Rubella (MR),2. Stocks Received,68500,92100,261500,1726910,1444360,454400,113070,222000,236400,93560,54300,106900,4874000,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Measles Rubella (MR),3. Unusable Stock,0,0,13500,0,0,165000,37500,30500,13290,12010,14010,12100,297910,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Measles Rubella (MR),4. Stock Distributed,27340,89870,208305,1288597,1075220,700850,346648,336782,555970,182926,90526,143638,5046672,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Jharkhand,Measles Rubella (MR),5. Total Stock,44160,43810,98505,557868,1053558,855598,652520,544638,247928,143338,108102,88254,4438279,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,84043,89941,90996,93636,94141,87370,87808,83847,85437,85676,85540,86763,1055198,997913,57285,261030,794168
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Child immunisation (9-11months) - Measles 1st dose,TOTAL,1446,1607,1250,1295,1208,1012,1191,867,1028,1211,1269,1693,15077,14464,613,2309,12768
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,5781,5667,5606,6696,5878,4969,5025,4577,4263,4715,4246,5362,62785,56598,6187,17197,45588
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Child immunisation - Measles-1st dose,TOTAL,535,394,460,537,823,753,707,595,393,731,333,793,7054,7013,41,207,6847
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,77735,85338,85405,88170,92600,82238,79210,77688,80106,79250,78744,79047,985531,947068,38463,235042,750489
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,2375,2130,2140,1466,2176,2080,1218,1487,1943,1770,2167,1765,22717,21989,728,3760,18957
2018-2019.xlsm/hmis-report-2018-19,Karnataka,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,1887,1794,1610,1433,1644,1427,1943,1487,1824,2080,2224,2126,21479,7496,13983,14874,6605
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Childhood Diseases - Pneumonia,TOTAL,1721,1835,1577,1903,2784,2083,1776,1714,1547,2075,1899,2095,23009,17241,5768,6665,16344
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Childhood Diseases - Asthma,TOTAL,1493,1560,1368,2037,1963,2019,1802,1767,1901,1990,1754,1606,21260,17189,4071,6108,15152
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Childhood Diseases - Measles,TOTAL,102,175,39,56,22,16,31,21,30,41,37,77,647,599,48,130,517
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Childhood Diseases - Diarrhoea,TOTAL,19112,20130,22926,19948,19421,18360,17734,18087,17139,17745,18482,18488,227572,214419,13153,41085,186487
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,3382,3333,3973,3163,2767,2986,2930,3154,2987,2859,2967,3001,37502,29296,8206,11346,26156
2018-2019.xlsm/hmis-report-2018-19,Karnataka,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",TOTAL,12005,14462,14742,20848,16775,16194,15525,17835,19964,19722,17608,18736,204416,168804,35612,40339,164077
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Number of Infant Deaths (1 -12 months) due to Pneumonia,TOTAL,22,39,33,37,53,60,35,51,36,42,50,37,495,459,36,43,452
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Number of Infant Deaths (1 -12 months) due to Diarrhoea,TOTAL,0,6,0,8,9,6,3,4,1,7,2,4,50,49,1,1,49
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Number of Infant Deaths (1 -12 months) due to Measles,TOTAL,0,1,1,4,3,1,7,8,0,2,0,1,28,26,2,2,26
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Number of Child Deaths (1 -5 years) due to Pneumonia,TOTAL,8,13,10,8,12,12,12,8,9,7,11,20,130,101,29,30,100
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Number of Child Deaths (1 -5 years) due to Diarrhoea,TOTAL,2,3,0,0,0,2,5,1,0,0,1,1,15,11,4,4,11
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Number of Child Deaths (1 -5 years) due to Measles,TOTAL,0,0,0,2,1,2,0,0,0,0,1,0,6,5,1,1,5
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Number of Adolscent / Adult deaths due to Diarrhoeal diseases,TOTAL,42,22,27,46,44,21,22,38,19,32,35,17,365,352,13,54,311
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Vaccine - Measles,1. Balance From Previous Month,8000,12200,13400,33000,11000,6160,4500,6700,4500,17680,5200,900,123240,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Vaccine - Measles,2. Stocks Received,10000,16000,6000,25000,47000,49000,47000,45500,55110,40000,45500,5000,391110,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Vaccine - Measles,3. Unusable Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Vaccine - Measles,4. Stock Distributed,8000,14800,5900,47000,51840,50660,44800,43900,41930,55680,44800,5260,414570,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Vaccine - Measles,5. Total Stock,10000,13400,13500,11000,6160,4500,6700,8300,17680,2000,5900,640,99780,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Measles Rubella (MR),1. Balance From Previous Month,183985,193025,188755,148675,131425,115530,103800,123900,106770,94970,106470,117400,1614705,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Measles Rubella (MR),2. Stocks Received,212500,318500,320350,231000,289350,263700,281000,205500,231750,255180,246640,216000,3071470,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Measles Rubella (MR),3. Unusable Stock,0,5420,12800,7690,20040,19440,0,0,9090,7890,8250,0,90620,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Measles Rubella (MR),4. Stock Distributed,214020,322470,362670,247600,297510,278730,260900,226430,242550,242700,232070,205310,3132960,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Karnataka,Measles Rubella (MR),5. Total Stock,162555,166155,148775,132075,115530,99500,123900,102970,96450,106720,117746,128090,1500466,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Kerala,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,40598,34923,40358,39550,33470,46241,40249,35881,34937,38674,38626,43032,466539,451280,15259,42969,423570
2018-2019.xlsm/hmis-report-2018-19,Kerala,Child immunisation (9-11months) - Measles 1st dose,TOTAL,1458,1048,1122,1064,649,1222,853,662,513,613,737,814,10755,9415,1340,2428,8327
2018-2019.xlsm/hmis-report-2018-19,Kerala,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,2084,1426,1300,1432,858,1524,1478,1352,1233,1231,999,1116,16033,15710,323,1925,14108
2018-2019.xlsm/hmis-report-2018-19,Kerala,Child immunisation - Measles-1st dose,TOTAL,143,91,71,60,59,68,61,90,56,92,96,56,943,866,77,462,481
2018-2019.xlsm/hmis-report-2018-19,Kerala,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,6480,3542,708,586,381,420,370,342,457,1321,3747,6910,25264,24385,879,1878,23386
2018-2019.xlsm/hmis-report-2018-19,Kerala,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,181,83,47,51,40,51,30,80,43,97,220,332,1255,1179,76,122,1133
2018-2019.xlsm/hmis-report-2018-19,Kerala,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,5270,34773,50682,43540,30762,44078,39371,40319,40258,29887,23467,20393,402800,362624,40176,46133,356667
2018-2019.xlsm/hmis-report-2018-19,Kerala,Childhood Diseases - Pneumonia,TOTAL,1004,779,904,1314,1849,1551,1295,1170,1343,1375,1123,1049,14756,6572,8184,2804,11952
2018-2019.xlsm/hmis-report-2018-19,Kerala,Childhood Diseases - Asthma,TOTAL,1004,1024,890,973,1112,1065,2076,2302,2193,1345,1111,1464,16559,10926,5633,4986,11573
2018-2019.xlsm/hmis-report-2018-19,Kerala,Childhood Diseases - Measles,TOTAL,24,16,5,15,9,23,29,26,21,12,26,35,241,200,41,19,222
2018-2019.xlsm/hmis-report-2018-19,Kerala,Childhood Diseases - Diarrhoea,TOTAL,4706,5873,8446,7271,5945,5520,5213,5391,4911,5351,5983,5017,69627,51326,18301,9810,59817
2018-2019.xlsm/hmis-report-2018-19,Kerala,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,1258,1598,1736,2041,1706,1536,1326,1569,1318,1586,1686,1403,18763,8557,10206,3155,15608
2018-2019.xlsm/hmis-report-2018-19,Kerala,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",TOTAL,9498,6884,7806,8330,9076,9231,8476,7841,8098,7619,8456,8341,99656,68315,31341,13443,86213
2018-2019.xlsm/hmis-report-2018-19,Kerala,Number of Infant Deaths (1 -12 months) due to Pneumonia,TOTAL,7,2,7,4,9,6,4,11,7,5,4,6,72,67,5,2,70
2018-2019.xlsm/hmis-report-2018-19,Kerala,Number of Infant Deaths (1 -12 months) due to Diarrhoea,TOTAL,2,2,1,1,0,0,0,0,0,0,0,0,6,6,0,0,6
2018-2019.xlsm/hmis-report-2018-19,Kerala,Number of Infant Deaths (1 -12 months) due to Measles,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019.xlsm/hmis-report-2018-19,Kerala,Number of Child Deaths (1 -5 years) due to Pneumonia,TOTAL,2,1,5,2,3,1,5,3,4,7,2,4,39,35,4,4,35
2018-2019.xlsm/hmis-report-2018-19,Kerala,Number of Child Deaths (1 -5 years) due to Diarrhoea,TOTAL,1,4,1,0,2,0,3,0,0,0,0,0,11,11,0,2,9
2018-2019.xlsm/hmis-report-2018-19,Kerala,Number of Child Deaths (1 -5 years) due to Measles,TOTAL,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2
2018-2019.xlsm/hmis-report-2018-19,Kerala,Number of Adolscent / Adult deaths due to Diarrhoeal diseases,TOTAL,2,0,4,4,1,0,1,0,0,0,0,1,13,9,4,2,11
2018-2019.xlsm/hmis-report-2018-19,Kerala,Vaccine - Measles,1. Balance From Previous Month,0,0,0,0,0,0,0,0,0,0,0,0,0,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Kerala,Vaccine - Measles,2. Stocks Received,0,0,0,0,0,0,0,0,0,0,0,0,0,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Kerala,Vaccine - Measles,3. Unusable Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Kerala,Vaccine - Measles,4. Stock Distributed,0,0,0,0,0,0,0,0,0,0,0,0,0,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Kerala,Vaccine - Measles,5. Total Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Kerala,Measles Rubella (MR),1. Balance From Previous Month,23740,14390,27120,77720,71380,74710,91900,107970,72030,53870,48300,56890,720020,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Kerala,Measles Rubella (MR),2. Stocks Received,34100,91500,110900,76100,57000,95300,116350,55000,59500,63500,73000,52520,884770,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Kerala,Measles Rubella (MR),3. Unusable Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Kerala,Measles Rubella (MR),4. Stock Distributed,44210,71510,57650,84310,67390,78110,86580,153200,73810,65340,58460,62710,903280,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Kerala,Measles Rubella (MR),5. Total Stock,13630,35010,80370,69510,60990,91900,121020,72320,66620,42640,62840,46700,763550,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Lakshadweep,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,60,93,53,77,95,94,68,64,86,125,94,88,997,997,NA,NA,997
2018-2019.xlsm/hmis-report-2018-19,Lakshadweep,Child immunisation (9-11months) - Measles 1st dose,TOTAL,0,0,0,0,0,8,0,4,0,0,0,3,15,15,NA,NA,15
2018-2019.xlsm/hmis-report-2018-19,Lakshadweep,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,12,4,5,12,47,24,26,41,40,50,40,27,328,328,NA,NA,328
2018-2019.xlsm/hmis-report-2018-19,Lakshadweep,Child immunisation - Measles-1st dose,TOTAL,0,0,0,0,0,0,0,0,0,22,15,33,70,70,NA,NA,70
2018-2019.xlsm/hmis-report-2018-19,Lakshadweep,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,50,97,71,74,73,78,68,55,73,87,57,63,846,846,NA,NA,846
2018-2019.xlsm/hmis-report-2018-19,Lakshadweep,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,4,0,0,3,0,4,3,5,1,0,3,1,24,24,NA,NA,24
2018-2019.xlsm/hmis-report-2018-19,Lakshadweep,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,6,0,0,0,0,0,0,0,0,5,0,0,11,11,NA,NA,11
2018-2019.xlsm/hmis-report-2018-19,Lakshadweep,Childhood Diseases - Pneumonia,TOTAL,8,0,0,1,1,1,3,0,1,2,1,3,21,21,NA,NA,21
2018-2019.xlsm/hmis-report-2018-19,Lakshadweep,Childhood Diseases - Asthma,TOTAL,2,0,0,10,5,3,2,7,2,17,18,16,82,82,NA,NA,82
2018-2019.xlsm/hmis-report-2018-19,Lakshadweep,Childhood Diseases - Measles,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2018-2019.xlsm/hmis-report-2018-19,Lakshadweep,Childhood Diseases - Diarrhoea,TOTAL,128,98,84,117,96,116,135,201,84,276,263,125,1723,1723,NA,NA,1723
2018-2019.xlsm/hmis-report-2018-19,Lakshadweep,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,13,4,4,1,3,2,3,6,18,11,9,11,85,85,NA,NA,85
2018-2019.xlsm/hmis-report-2018-19,Lakshadweep,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",TOTAL,17,13,18,17,14,16,14,14,12,20,10,21,186,186,NA,NA,186
2018-2019.xlsm/hmis-report-2018-19,Lakshadweep,Number of Infant Deaths (1 -12 months) due to Pneumonia,TOTAL,0,0,0,0,0,0,1,0,1,0,0,0,2,2,NA,NA,2
2018-2019.xlsm/hmis-report-2018-19,Lakshadweep,Number of Infant Deaths (1 -12 months) due to Diarrhoea,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
